"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Multiplication - BVA","6","0","","0"
"0","","0","Subtraction - Negative","4","0","","0"
"0","","0","Division - EP","10","0","","0"
"0","","0","Addition - Negative","4","0","","0"
"0","","0","Multiplication - EP","4","0","","0"
"0","","0","Multiplication - Negative","4","0","","0"
"0","","0","Division - Negative","4","0","","0"
"0","","0","Addition - BVA","6","0","","0"
"0","","0","Subtraction - BVA","6","0","","0"
"0","","0","Subtraction - EP","4","0","","0"
"0","","0","Addition - EP","4","0","","0"
